elli island 1021
rememb use 78
kind thing 78
twentyf dollar 78
public school 77
came elli 76
mother work 76
place know 75
day came 75
came york 75
american citizen 75
know differ 75
thousand dollar 75
father know 74
got littl 74
live live 74
east side 74
day went 74
walk around 73
sister live 73
brother came 73
thing happen 73
know alway 72
speak languag 72
use bring 72
final got 72
took train 72
mother want 72
across street 72
rememb father 71
whole thing 71
ice cream 71
younger brother 71
anyth know 71
think know 71
good thing 71
ye mother 71
know kind 70
quit bit 70
ye father 70
ye right 70
time mother 70
father want 70
big citi 70
went night 69
send money 69
nine year 69
littl boy 69
school learn 69
becam citizen 69
know noth 69
told mother 69
rememb anyth 68
peopl work 68
kid know 68
boy girl 68
sister sister 68
rememb think 68
work farm 68
came mother 67
ten day 67
ten dollar 67
want stay 66
day got 66
good know 66
boat know 66
ye got 66
take care 66
lot money 66
war start 66
becom citizen 65
father name 65
mother come 65
came father 65
use live 65
went church 65
differ place 65
time rememb 65
cours know 65
know live 64
came time 64
littl money 64
open door 64
came got 64
mother alway 64
day come 64
graduat school 64
young girl 63
children know 63
took boat 63
use walk 63
came went 63
got togeth 62
come hous 62
next door 62
father got 62
know talk 62
live know 62
speak italian 62
sister went 62
think mother 62
big thing 62
differ kind 62
clock morn 62
school year 61
good good 61
know cours 61
someth els 61
next morn 61
thing use 61
want leav 60
work day 60
place live 60
know tell 60
thought go 60
time come 60
big hous 60
mother name 60
english languag 60
twenti year 60
short time 60
sister came 59
tell truth 59
rememb got 59
live york 59
know mayb 59
everyth know 59
went right 59
aw lot 58
day week 58
room know 58
peopl went 58
know good 58
time think 58
seven eight 58
know look 58
peopl peopl 58
break tape 58
time saw 58
day night 58
ye think 57
much much 57
got elli 57
mean know 57
live hous 57
run around 57
went know 57
ye came 57
town know 57
time father 57
come got 57
money know 57
stay year 57
clear throat 57
wait minut 57
hors wagon 57
came visit 56
father left 56
use buy 56
rememb day 56
go know 56
know right 56
board ship 56
six seven 56
brother went 56
coupl day 56
right know 56
want work 56
went train 55
right ye 55
ye use 55
year younger 55
much better 55
thing went 54
sure sure 54
english know 54
year ye 54
rememb went 54
day rememb 54
use know 54
come mother 54
time work 54
come york 54
uncl came 54
lo angel 54
dollar month 54
younger sister 53
littl thing 53
hundr peopl 53
mayb year 53
got money 53
around know 53
tape begin 53
work went 53
mother live 53
day use 53
spoke english 53
learn languag 53
sent money 53
sister got 52
got train 52
came year 52
school got 52
know everyth 52
room room 52
know young 52
boat boat 52
use sit 52
that’ right 52
wrote letter 52
thing got 52
think rememb 52
name name 52
know everybodi 51
peopl got 51
job work 51
war broke 51
rememb see 51
big hall 51
work got 51
ye sure 51
famili know 51
mother took 51
came hous 50
got paper 50
rememb littl 50
live year 50
tell know 50
know told 50
know someth 50
ye lot 50
call name 50
hard work 50
fourteen year 50
half year 50
know exactli 49
man came 49
peopl want 49
rememb exactli 49
brother live 49
came took 49
met husband 49
children children 49
sunday school 49
brother born 49
use lot 49
everybodi els 48
thing thing 48
look around 48
know sister 48
know knew 48
bunk bed 48
fifti dollar 48
noth els 48
hous hous 48
sister mother 48
nice nice 48
year time 48
time year 48
mile away 48
father come 48
can’t rememb 48
know stay 48
someth wrong 48
much time 48
look know 48
talk english 48
thing think 48
shall give 48
write letter 47
use write 47
lot fun 47
young boy 47
know guess 47
went live 47
live right 47
alway use 47
knew go 47
laugh got 47
year rememb 47
think got 47
peopl time 47
money come 47
big boat 47
good friend 47
town call 47
femal voic 47
year work 46
hous went 46
famili came 46
know name 46
know boat 46
use send 46
boat come 46
boat went 46
school work 46
work factori 46
think went 46
start cri 46
know english 46
mr cappellino 46
bake bread 45
lot time 45
know start 45
start talk 45
work year 45
god bless 45
marri marri 45
come want 45
whatev want 45
decid come 45
year father 45
noth know 45
father sister 45
small boat 45
rememb came 45
day took 45
start go 45
cours mother 45
know children 45
time ye 45
know don’t 45
hard time 45
think took 45
noth noth 45
taken care 45
run away 45
laugh mother 44
left left 44
year mother 44
thing mother 44
brother got 44
know kid 44
littl kid 44
let know 44
thirteen year 44
play card 44
die year 44
look look 44
got ship 44
want marri 44
work time 44
food know 44
went away 44
laugh think 44
finish school 44
america came 43
saw statu 43
hebrew school 43
good life 43
year think 43
differ know 43
class class 43
home town 43
mother go 43
alway want 43
san francisco 43
littl villag 43
school rememb 43
boat came 43
last year 43
nice peopl 42
much rememb 42
peopl knew 42
went place 42
took took 42
littl hous 42
knew know 42
live father 42
rememb ye 42
school use 42
went visit 42
boat got 42
didn’t want 42
stay overnight 42
use eat 42
famili live 42
month later 42
eleven year 42
coupl week 42
went elli 42
big famili 42
sort thing 42
knew knew 41
poor peopl 41
came sister 41
go happen 41
time want 41
want tell 41
school came 41
time laugh 41
father alway 41
far rememb 41
thing go 41
come day 41
fifteen year 41
got work 41
wonder time 41
went mother 41
certain thing 41
father live 41
thing want 41
live togeth 41
peopl talk 41
come came 41
thousand peopl 41
sister marri 40
friday night 40
earli morn 40
walk walk 40
took time 40
money got 40
island know 40
talk know 40
know nice 40
nice know 40
togeth know 40
mother told 40
third grade 40
know anyway 40
school ye 40
come time 40
work father 40
got good 40
know saw 40
america know 40
know brother 40
school teacher 40
grammar school 40
nine month 40
littl store 40
learn speak 40
know anybodi 40
chang name 39
later year 39
friend know 39
know thought 39
laugh went 39
name call 39
know languag 39
girl boy 39
whatev know 39
month got 39
thing come 39
went year 39
sister know 39
uncl aunt 39
came boat 39
peopl go 39
cri cri 39
bought hous 39
time ago 39
come elli 39
anyth want 39
york harbor 39
ye time 39
citizen paper 39
school start 39
year school 39
eighteen year 39
brother mother 39
differ countri 39
came along 38
marri got 38
went boat 38
love love 38
home mother 38
time go 38
last name 38
thing ye 38
want school 38
good job 38
youngest brother 38
rememb get 38
everybodi got 38
littl room 38
mother children 38
came live 38
know famili 38
away know 38
peopl lot 38
doctor examin 38
sixteen year 38
rememb realli 38
mother side 38
birth certif 38
came pick 37
big build 37
sister born 37
time took 37
job got 37
go work 37
word english 37
came ye 37
mother grandmoth 37
know small 37
come go 37
ship know 37
go marri 37
day later 37
look forward 37
stay week 37
went busi 37
cours went 37
room big 37
wait till 37
know didn’t 37
use help 37
last time 37
ye uhhuh 37
want give 37
use cook 37
year half 37
tell someth 37
read book 37
kind work 37
year age 36
main thing 36
turn around 36
hot water 36
island rememb 36
far know 36
want learn 36
went colleg 36
hous use 36
know read 36
sister use 36
think go 36
went bed 36
got home 36
use sell 36
think much 36
good cook 36
tell thing 36
someth eat 36
hous rememb 36
thing came 36
year left 36
eat eat 36
school graduat 36
seventeen year 36
told stori 36
ye cours 36
think father 36
work mother 36
know tri 36
went york 36
littl boat 36
want someth 36
war came 36
oldest sister 36
certain amount 35
year use 35
use pick 35
know shall 35
know must 35
whatev call 35
littl older 35
run water 35
boat rememb 35
know hous 35
rememb big 35
everybodi know 35
school right 35
best thing 35
know school 35
know learn 35
live mother 35
told father 35
laugh use 35
stay day 35
week week 35
right near 35
ten cent 35
cours got 35
marri children 35
marri mother 35
money buy 35
mother ye 35
differ peopl 35
come visit 35
fifti year 35
know america 35
big place 35
got lot 35
come right 35
got letter 35
stay stay 35
like much 35
els know 35
morn went 35
think use 35
look job 35
think thing 35
father took 35
good mother 35
care children 35
famili mother 35
ask mother 35
apart hous 35
school night 35
rememb lot 35
ship came 34
came rememb 34
young fellow 34
time live 34
alway rememb 34
wash cloth 34
know help 34
church sunday 34
time start 34
anyway got 34
school want 34
father time 34
come stay 34
guess know 34
ye work 34
ye live 34
went stay 34
inaud ye 34
unclear ye 34
kind peopl 34
work peopl 34
someth rememb 34
thing realli 34
realli think 34
work use 34
eight clock 34
examin eye 34
great deal 34
live time 34
good food 34
money money 34
street school 34
block away 34
twenti dollar 34
pay much 34
i’m sure 34
america want 34
give money 34
son daughter 34
happi happi 34
period time 34
seven day 34
milk cow 34
young know 33
home got 33
live littl 33
live town 33
think anyth 33
day go 33
came day 33
good look 33
man use 33
night time 33
went time 33
come went 33
ye much 33
brother name 33
got use 33
happen know 33
railroad station 33
got pictur 33
use love 33
want mother 33
know left 33
think year 33
hous father 33
want live 33
call know 33
lot lot 33
uncl live 33
hous mother 33
far concern 33
aunt mother 33
told want 33
come father 33
children got 33
think realli 33
born 33
post offic 33
christma tree 33
train came 33
christma eve 33
much differ 33
took year 33
go stay 33
went itali 33
coal mine 33
better life 33
come took 33
day think 33
took elli 33
ye laugh 33
went america 33
coast guard 33
mr passion 33
passion speak 33
thing alway 32
red cross 32
year start 32
ye born 32
thing father 32
know give 32
aunt live 32
school time 32
husband die 32
use stay 32
kid use 32
lot friend 32
left home 32
use talk 32
came work 32
think ye 32
home time 32
famili went 32
know better 32
know feel 32
walk street 32
father knew 32
come boat 32
languag know 32
man know 32
staten island 32
time peopl 32
go give 32
famili father 32
go home 32
know ask 32
father sent 32
telephon ring 32
day work 32
told come 32
save money 32
think time 32
cent hour 32
mayb mayb 31
quit year 31
sit around 31
think mayb 31
go leav 31
nice hous 31
know speak 31
older peopl 31
marri live 31
help know 31
anyway went 31
home home 31
dollar day 31
friend friend 31
came told 31
ye good 31
much ye 31
realli someth 31
came stay 31
sew machin 31
coupl time 31
number year 31
die die 31
go tell 31
place call 31
think probabl 31
brother father 31
lot differ 31
didn’t much 31
time left 31
keep go 31
know word 31
use alway 31
children mother 31
big farm 31
ask want 31
home went 31
look good 31
son son 31
beauti beauti 31
use school 31
door open 31
know gave 31
want talk 31
fifth avenu 31
mr ojalvo 31
wash dish 31
brother use 30
